
 Candidate: black, score: 1.0
 Candidate: panther, score: 1.0
 Candidate: is, score: 1.0
 Candidate: not, score: 1.0
 Candidate: the, score: 1.0
 Candidate: first, score: 1.0
 Candidate: superhero, score: 1.0
 Candidate: film, score: 1.0
 Candidate: of, score: 1.0
 Candidate: this, score: 1.0
 Candidate: modern, score: 1.0
 Candidate: cinematic, score: 1.0
 Candidate: universe, score: 1.0
 Candidate: era, score: 1.0
 Candidate: to, score: 1.0
 Candidate: try, score: 1.0
 Candidate: say, score: 1.0
 Candidate: something, score: 1.0
 Candidate: it, score: 1.0
 Candidate: even, score: 1.0
 Candidate: marvel, score: 1.0
 Candidate: however, score: 1.0
 Candidate: take, score: 1.0
 Candidate: controlled, score: 1.0
 Candidate: political, score: 1.0
 Candidate: stance, score: 1.0
 Candidate: reflect, score: 1.0
 Candidate: uncertainty, score: 1.0
 Candidate: our, score: 1.0
 Candidate: own, score: 1.0
 Candidate: world, score: 1.0
 Candidate: which, score: 1.0
 Candidate: that, score: 1.0
 Candidate: seemed, score: 1.0
 Candidate: almost, score: 1.0
 Candidate: impossible, score: 1.0
 Candidate: given, score: 1.0
 Candidate: arrived, score: 1.0
 Candidate: with, score: 1.0
 Candidate: movie, score: 1.0
 Candidate: machine, score: 1.0
 Candidate: conspicuously, score: 1.0
 Candidate: cranked, score: 1.0
 Candidate: all, score: 1.0
 Candidate: way, score: 1.0
 Candidate: up, score: 1.0
 Candidate: there, score: 1.0
 Candidate: are, score: 1.0
 Candidate: generally, score: 1.0
 Candidate: three, score: 1.0
 Candidate: movies, score: 1.0
 Candidate: per, score: 1.0
 Candidate: year, score: 1.0
 Candidate: one, score: 1.0
 Candidate: or, score: 1.0
 Candidate: two, score: 1.0
 Candidate: from, score: 1.0
 Candidate: dc, score: 1.0
 Candidate: and, score: 1.0
 Candidate: then, score: 1.0
 Candidate: stuff, score: 1.0
 Candidate: 20th, score: 1.0
 Candidate: century, score: 1.0
 Candidate: fox, score: 1.0
 Candidate: men, score: 1.0
 Candidate: adjacent, score: 1.0
 Candidate: franchise, score: 1.0
 Candidate: loud, score: 1.0
 Candidate: churns, score: 1.0
 Candidate: out, score: 1.0
 Candidate: product, score: 1.0
 Candidate: necessarily, score: 1.0
 Candidate: devoid, score: 1.0
 Candidate: sharp, score: 1.0
 Candidate: edges, score: 1.0
 Candidate: might, score: 1.0
 Candidate: harm, score: 1.0
 Candidate: mass, score: 1.0
 Candidate: consumption, score: 1.0
 Candidate: simplicity, score: 1.0
 Candidate: prototypical, score: 1.0
 Candidate: good, score: 1.0
 Candidate: vs, score: 1.0
 Candidate: evil, score: 1.0
 Candidate: comic, score: 1.0
 Candidate: book, score: 1.0
 Candidate: conflict, score: 1.0
 Candidate: part, score: 1.0
 Candidate: appeal, score: 1.0
 Candidate: various, score: 1.0
 Candidate: directors, score: 1.0
 Candidate: writers, score: 1.0
 Candidate: involved, score: 1.0
 Candidate: may, score: 1.0
 Candidate: have, score: 1.0
 Candidate: their, score: 1.0
 Candidate: voices, score: 1.0
